19.4, None,Kepler-107 d,,0.095459
11.2, None,Kepler-1049 b,,0.085
4.8, None,Kepler-813 b,,0.191
4.975, None,Kepler-427 b,,1.23
7.679, None,Kepler-1056 b,,0.269
1.77, None,Kepler-1165 b,,0.138
10.3, None,Kepler-1104 b,,0.11
 ,1.7,WASP-14 b,,1.281
14, None,Kepler-50 b,,0.196096
0.91, None,NN Ser d,,
1.99, None,WASP-105 b,,0.981089
0.86, None,GJ 625 b,,
4, None,Kepler-1279 b,,0.156
9.8, None,Kepler-1599 b,,0.145
30,0.97,Kepler-20 b,,0.170247
5, None,HAT-P-27 b,,1.02
6.88, None,Kepler-181 b,,0.113302
8.3, None,HD 116029 b,,
3.4, None,Kepler-207 b,,0.140066
1.9, None,Kepler-1156 b,,0.118
20,0.92,Kepler-1512 b,,0.105
30,1.3,Kepler-787 b,,0.114
 , None,Kepler-528 b,,0.186
10,1.36,HD 219828 b,,
13, None,Kepler-480 b,,0.248
13.9,1.44,Kepler-1567 b,,0.244
11.6, None,HD 3167 b,,
8,1.32,Kepler-1390 b,,0.105
1.1,1.3,Kepler-1642 b,,0.285
12,1.23,Kepler-11 c,,0.255816
3,1.29,Kepler-871 b,,0.334
13,1.35,Kepler-1131 b,,0.142
15,1.45,Kepler-705 b,,0.188
3.7, None,HD 1237 b,,
13,1.36,WASP-21 b,,1.07
7,1.38,Kepler-284 c,,0.232849
8,1.3,Kepler-186 c,,0.111418
12.5, None,HD 4308 b,,
6.6, None,Kepler-239 b,,0.207869
4.51, None,Kepler-651 b,,0.211
3.88, None,Kepler-80 f,,0.11
2.53, None,Kepler-1217 b,,0.178
0.54, None,Kepler-895 b,,0.137
1.64, None,Kepler-628 b,,0.749
7.1, None,Kepler-408 b,,0.075104
2,1,Kepler-174 b,,0.174859
0.46, ,Kepler-440 b,,0.165939
0.8036, None,Kepler-403 d,,0.127
0.1611, None,K2-6 b,,0.234976
3.12, None,Kepler-224 d,,0.205192
0.0251,0.16728,Kepler-389 c,,0.130252
0.1503, None,Kepler-674 b,,0.151
0.016, None,Kepler-1047 c,,0.088
0.0573, None,Kepler-1247 b,,0.208
0.0721, None,Kepler-1210 b,,0.152
2.21, None,Kepler-254 c,,0.19181
7.4, None,Kepler-236 c,,0.178428
3, None,WASP-25 b,,1.22
1.85, None,Kepler-186 d,,0.12479
0.87, None,Kepler-1646 b,,0.11
5.3, None,HATS-11 b,,1.54056
0.079, None,HD 24040 b,,
0.36, None,Kepler-359 c,,0.38362
1.5, None,Kepler-211 c,,0.115086
3.2, None,Kepler-967 b,,0.21
12,1.55,Kepler-1574 b,,0.115
1.8, None,Kepler-1157 b,,0.097
6.47, None,Kepler-549 b,,0.229
0.003691, None,Kepler-1510 b,,0.3
0.022024, None,HD 59686 A b,,
0.000818, None,Kepler-1002 b,,0.153
